Brand;Title;Kilometer;Gas Type;Gear Box;Year;Price
Alfa Romeo;Alfa Romeo GT 2.0 JTS Selespeed;130 100;Gasolina;Automática;2006;8 500
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;185 000;Diesel;Automática;2018;23 950
Alfa Romeo;Alfa Romeo Tonale 1.3 Plug-In Hybrid Edizione Speciale e-AWD;1 000;Híbrido Plug-In;Automática;2023;50 990
Alfa Romeo;Alfa Romeo 159 Sportwagon 2.0 JTDm Distinctive P.Sport+;231 254;Diesel;Manual;2010;11 500
Alfa Romeo;Alfa Romeo Stelvio 2.2 D AT8;55 500;Diesel;Automática;2021;35 500
Alfa Romeo;Alfa Romeo Giulia 2.2 D Estrema Q4 AT8;111 736;Diesel;Automática;2019;37 900
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Distinctive 57X;128 000;Diesel;Manual;2016;14 750
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Distinctive;270 000;Diesel;Manual;2010;7 250
Alfa Romeo;Alfa Romeo MiTo 0.9 T TwinAir Urban;64 200;Gasolina;Manual;2018;10 990
Alfa Romeo;Alfa Romeo MiTo 1.6 JTD Distinctive S&S;151 000;Diesel;Manual;2010;8 900
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Exclusive;194 301;Diesel;Manual;2012;9 900
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDM 16V;239 883;Diesel;Manual;2013;10 500
Alfa Romeo;Alfa Romeo Stelvio 2.2 D B-Tech AT8;80 000;Diesel;Automática;2019;28 000
Alfa Romeo;Alfa Romeo Giulia 2.2 D;71 000;Diesel;Manual;2017;19 900
Alfa Romeo;Alfa Romeo 147 1.9 JTD 16V Distinctive;270 000;Diesel;Manual;2005;3 998
Alfa Romeo;Alfa Romeo GT;30 150;Gasolina;Manual;1972;32 750
Alfa Romeo;Alfa Romeo Giulia 2.0 T Veloce Q4 AT8;43 000;Gasolina;Automática;2020;44 900
Alfa Romeo;Alfa Romeo Stelvio 2.2 D Super AT8;66 500;Diesel;Automática;2017;26 899
Alfa Romeo;Alfa Romeo Giulietta;98 000;Diesel;Manual;2015;14 400
Alfa Romeo;Alfa Romeo MiTo 1.6 JTD Progression;218 000;Diesel;Manual;2010;7 990
Alfa Romeo;Alfa Romeo Giulia 2.0 T TI Q4 AT8;2 401;Gasolina;Automática;2024;55 700
Alfa Romeo;Alfa Romeo Giulietta 1.6 JTDm Progression 57X;166 722;Diesel;Manual;2015;10 500
